계정코드,계정명(short),계정명(long),조정계정,,계정코드,계정명(short),계정명(long),계정그룹,계정통화,조정계정,
11030110,외상매출금,외상매출금,고객,,11110111,선급금　원가,선급금　원가,Asset Account,KRW,,>> 계정코드 변경되었음
11060110,계약자산_미청구,계약자산_미청구,,,21010120,외상매입금　미청구,외상매입금　미청구,Liability Account,KRW,,>> 계정코드 변경되었음
21120110,계약부채_예치금,계약부채_예치금,,,42021010,용역매출원가_Infra(내수),용역매출원가_Infra(내수),PL Account,KRW,,
21120130,계약부채_기간귀속,계약부채_기간귀속,,,42021020,용역매출원가_Infra(수출),용역매출원가_Infra(수출),PL Account,KRW,,
41021010,용역매출_Infra(내수),용역매출_Infra(내수),,,42022010,용역매출원가_PS(내수),용역매출원가_PS(내수),PL Account,KRW,,
41021020,용역매출_Infra(수출),용역매출_Infra(수출),,,42022020,용역매출원가_PS(수출),용역매출원가_PS(수출),PL Account,KRW,,
41022010,용역매출_PS(내수),용역매출_PS(내수),,,42023010,용역매출원가_MS(내수),용역매출원가_MS(내수),PL Account,KRW,,
41022020,용역매출_PS(수출),용역매출_PS(수출),,,42023020,용역매출원가_MS(수출),용역매출원가_MS(수출),PL Account,KRW,,
41023010,용역매출_MS(내수),용역매출_MS(내수),,,42024010,용역매출원가_기타(내수),용역매출원가_기타(내수),PL Account,KRW,,
41023020,용역매출_MS(수출),용역매출_MS(수출),,,42024020,용역매출원가_기타(수출),용역매출원가_기타(수출),PL Account,KRW,,
41024010,용역매출_기타(내수),용역매출_기타(내수),,,42026010,용역매출원가_DS(내수),용역매출원가_DS(내수),PL Account,KRW,,
41024020,용역매출_기타(수출),용역매출_기타(수출),,,42026020,용역매출원가_DS(수출),용역매출원가_DS(수출),PL Account,KRW,,
41026010,용역매출_DS(내수),용역매출_DS(내수),,,,,,,,,
41026020,용역매출_DS(수출),용역매출_DS(수출),,,,,,,,,
11060140,계약자산_기타,계약자산_기타,,,,,,,,,
,,,,,,,,,,,
,매출용,,,,,원가용,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
